Article ID,Article URL,Title,Journal,Authors,Abstract,Year,Volume,Pages,Country,Biome,Habitat type,Number of different stability metrics calculated,Type of stability metric,Stability metric,Organizational level,Temporal or spatial stability,Spatial scale,Number of replicates,Size of sampling unit,Temporal scale,Temporal resolution,Main result,"Type of study (empirical, theoretical, experimental, simulation)",Diversity stability relationship,Observations,Multi-interaction,Perturbation type,Perturbation type observations,Press_pulse
,,A keystone mutualism promotes resistance to invasion,Journal of Animal Ecology,"Agustin Vitali1 | Diego P. Vázquez2,3 | María F. Miguel2 | Yamila Sasal1 |
Mariano A. Rodríguez-Cabal1,4","1. It is not uncommon for one or a few species, and their interactions, to have disproportionate
effects on other species in ecological communities. Such keystone
interactions might affect how communities respond to the invasion of non-native
species by preventing or inhibiting the establishment, spread or impact of non-native
species.
2. We explore whether a keystone mutualism among a hummingbird–mistletoe–
marsupial
promotes ecological resistance to an invasive pollinator, the bumblebee
Bombus terrestris, by comparing data collected at sites prior to bumblebee invasion
to data collected 11 years after the invasion in sites with and without the keystone
mutualism.
3. We built pollination networks and focused on network motifs, regarded as building
blocks of networks, to identify the central pollinators and estimate the change
in their interactions after invasion of B. terrestris. We also estimated the interaction
rewiring across the season in post-invasion
networks and tested it as a
possible mechanism explaining how the keystone mutualism increased ecological
resistance to invasion.
4. We found two times more species in post-invasion
sites with the keystone mutualism
than in post-invasion
sites without the keystone mutualism. Moreover, we
found that invasive bumblebee reduced the strength and interaction niche of the
five central pollinator species while increasing its own strength and interaction
niche, suggesting a replacement of interactions. Also, we found that the keystone
mutualism promoted resistance to B. terrestris invasion by reducing its negative
impacts on central species. In the presence of the keystone mutualism, central
species had three times more direct interactions than in sites without this keystone
mutualism. The higher interaction rewiring, after invasion of B. terrestris, in
sites with the keystone mutualism indicates greater chances of central pollinators
to form new interactions and reduces their competence for resources with the
non-native
bumblebee.
5. Our results demonstrate that a keystone mutualism can enhance community resistance
against the impacts of a non-native
invasive pollinator by increasing species
diversity and promoting interaction rewiring in the community. This study suggests that the conservation of mutualisms, especially those considered keystone,
could be essential for long-term
preservation of natural communities under
current and future impacts of global change.",2021,91,74-85,Argentina,Subantarctic,Forests,1,Interaction turnover as measure of persistnce to invasion,Persistence,Interactions,Temporal and spatial,Site,8,,Inter-annual,two sampling periods 11 years apart,"Also, we found that the keystone
mutualism promoted resistance to B. terrestris invasion by reducing its negative
impacts on central species. In the presence of the keystone mutualism, central
species had three times more direct interactions than in sites without this keystone
mutualism",Empirical,,,,Invasive species,,
91938928,https://sysrev.com/p/121752/article/91938928,Contrasting specialization-stability relationships in plant-animal mutualistic systems,ECOLOGICAL MODELLING,"Benadi, G; Bluthgen, N; Hovestadt, T; Poethke, HJ","Specialization has often been suggested as one of the main factors influencing the stability of ecological systems at the population and community level. Generally, highly specialized systems are believed to be the most sensitive toward disturbances, as the dependence of specialized species on the availability of particular resources or partner species is greatest. The flip side of specialization is, however, that it reduces the intensity of interspecific competition and thus the risk of extinction through competitive exclusion. Moreover, since ecological stability is a highly ambiguous concept, general statements about the relationship between specialization and stability cannot be made based on a single stability criterion. In this study, we examine the relationship between specialization and stability in plant-animal mutualistic systems using a population dynamic model with two species in each group. We compare results for four different stability criteria, both for a general type of plant-animal mutualism and specifically for a plant-pollinator system. Contrary to previous studies which concluded that specialization increases system vulnerability to disturbances, we find that positive, negative and unimodal relationships are possible depending on the stability criterion applied and the characteristics of species interactions. Our results call for further investigations of the consequences of ecological specialization, and emphasize the special properties of pollination mutualisms. (C) 2013 Elsevier B.V. All rights reserved.",2013,258,65-73,,,,4,"1) Resilience: rate of return to equilibrium, 2) Domain of attraction around the equilibrium, 3) Persistence: considers the starting conditions allowing all
species to persist above a threshold density within a certain ecologically
relevant time span 4) (“ecosystem function
criterion”) refers to the preservation of the ecological function “pollination”
(or another mutualistic service provided by animals) for
the plant community and thus quantifies the fraction of starting
conditions that allow persistence of both plants and at least one
animal species",Resilience,Species and functions,,Simulation,,,,,"depending on the measure of stability applied, different relationships between specialization and stability of 2×2- species mutualistic systems are possible. A positive effect of
specialization on system stability mainly results from the reduced
risk of competitive exclusion, a fact that is rarely considered in
the conservation literature. Furthermore, our results indicate that
specialization has a different effect on stability of plant–pollinator
systems as compared to other plant–animal mutualistic systems,
due to the reproductive disadvantage of rare plant species in generalized
pollination systems.                                     Its main result, the finding
that no single relationship between specialization and stability
of mutualistic systems exists, is bad news for conservationists and
managers in search of rules of thumb for assessing the fragility of
ecological systems.",Simulation,,,,Underlying variation,,
91938928,https://sysrev.com/p/121752/article/91938928,Contrasting specialization-stability relationships in plant-animal mutualistic systems,ECOLOGICAL MODELLING,"Benadi, G; Bluthgen, N; Hovestadt, T; Poethke, HJ","Specialization has often been suggested as one of the main factors influencing the stability of ecological systems at the population and community level. Generally, highly specialized systems are believed to be the most sensitive toward disturbances, as the dependence of specialized species on the availability of particular resources or partner species is greatest. The flip side of specialization is, however, that it reduces the intensity of interspecific competition and thus the risk of extinction through competitive exclusion. Moreover, since ecological stability is a highly ambiguous concept, general statements about the relationship between specialization and stability cannot be made based on a single stability criterion. In this study, we examine the relationship between specialization and stability in plant-animal mutualistic systems using a population dynamic model with two species in each group. We compare results for four different stability criteria, both for a general type of plant-animal mutualism and specifically for a plant-pollinator system. Contrary to previous studies which concluded that specialization increases system vulnerability to disturbances, we find that positive, negative and unimodal relationships are possible depending on the stability criterion applied and the characteristics of species interactions. Our results call for further investigations of the consequences of ecological specialization, and emphasize the special properties of pollination mutualisms. (C) 2013 Elsevier B.V. All rights reserved.",2013,258,65-73,,,,,"1) Resilience: rate of return to equilibrium, 2) Domain of attraction around the equilibrium, 3) Persistence: considers the starting conditions allowing all
species to persist above a threshold density within a certain ecologically
relevant time span 4) (“ecosystem function
criterion”) refers to the preservation of the ecological function “pollination”
(or another mutualistic service provided by animals) for
the plant community and thus quantifies the fraction of starting
conditions that allow persistence of both plants and at least one
animal species",Persistence,Species and functions,,,,,,,"depending on the measure of stability applied, different relationships between specialization and stability of 2×2- species mutualistic systems are possible. A positive effect of
specialization on system stability mainly results from the reduced
risk of competitive exclusion, a fact that is rarely considered in
the conservation literature. Furthermore, our results indicate that
specialization has a different effect on stability of plant–pollinator
systems as compared to other plant–animal mutualistic systems,
due to the reproductive disadvantage of rare plant species in generalized
pollination systems.                                     Its main result, the finding
that no single relationship between specialization and stability
of mutualistic systems exists, is bad news for conservationists and
managers in search of rules of thumb for assessing the fragility of
ecological systems.",Simulation,,,,Small perturbation,Not specified,
91939051,https://sysrev.com/p/121752/article/91939051,Population Dynamics of Plant and Pollinator Communities: Stability Reconsidered,AMERICAN NATURALIST,"Benadi, G; Bluthgen, N; Hovestadt, T; Poethke, HJ","Plant-pollinator networks are systems of outstanding ecological and economic importance. A particularly intriguing aspect of these systems is their high diversity. However, earlier studies have concluded that the specific mechanisms of plant-pollinator interactions are destabilizing and should lead to a loss of diversity. Here we present a mechanistic model of plant and pollinator population dynamics with the ability to represent a broad spectrum of interaction structures. Using this model, we examined the influence of pollinators on the stability of a plant community and the relationship between pollinator specialization and stability. In accordance with earlier work, our results show that plant-pollinator interactions may severely destabilize plant coexistence, regardless of the degree of pollinator specialization. However, if plant niche differentiation, a classical stabilizing mechanism, is sufficiently strong to overcome the minority disadvantage with respect to pollination, interactions with pollinators may even increase the stability of a plant community. In addition to plant niche differentiation, the relationship between specialization and stability depends on a number of parameters that affect pollinator growth rates. Our results highlight the complex effects of this particular type of mutualism on community stability and call for further investigations of the mechanisms of diversity maintenance in plant-pollinator systems.",2012,179,157-168,,,,1, Community stability was measured by calculating the dominant eigenvalue of the Jacobian matrix at the equillibrium point with coexistence of all species ,Persistence,Community,,Simulation,,,,,"In accordance with earlier work, our results show that plant-pollinator interactions may severely destabilize plant coexistence, regardless of the degree of pollinator specialization. However, if plant niche differentiation, a classical stabilizing mechanism, is sufficiently strong to overcome the minority disadvantage with respect to pollination, interactions with pollinators may even increase the stability of a plant community. In addition to plant niche differentiation, the relationship between specialization and stability depends on a number of parameters that affect pollinator growth rates.",Simulation,,,,Underlying variation,,
91938814,https://sysrev.com/p/121752/article/91938814,Predicting the effect of competition on secondary plant extinctions in plant-pollinator networks,OIKOS,"Bewick, S; Brosi, BJ; Armsworth, PR","What are the limitations of models that predict the behavior of an ecological community based on a single type of species interaction? Using plant-pollinator network models as an example, we contrast the predicted vulnerability of a community to secondary extinctions under the assumption of purely mutualistic interactions versus mutualistic and competitive interactions. We find that competition among plant species increases the risk of secondary extinctions and extinction cascades. Simulations over a number of different network structures indicate that this effect is stronger in larger networks, more strongly connected networks and networks with higher plant:pollinator ratios. We conclude that efforts to model plant-pollinator communities will systematically over-estimate community robustness to species loss if plant competition is ignored. However, because the effect of plant competition depends on network architecture, and because characterization of plant competition is work intensive, we suggest that efforts to account for plant competition in plant-pollinator network models should be focused on large, strongly connected networks with high plant:pollinator ratios.",2013,122,1710-1719,NA,NA,NA,1,Resistance measured as robustness to species coextinctions,Resistance,Species,,Simulation,,,Before after species removal,,"We find that interspecific plant competition causes a systematic increase in the incidence of secondary plant extinctions. This is true regardless of the niche structure
of the pollinator community (i.e. degree of competition among pollinator species), the nature of the plant– pollinator interactions (e.g. preferential pollination of one plant species vs. pollinator/plant specialization), the fraction of pollinator species that are removed, the plant: pollinator ratio or the size and connectivity of the plant–pollinator network. The simple explanation is that
competitive exclusion provides an additional route to extinction that is only possible when interspecific competition is considered",Simulation,,,,Species removal,Secondary extinctions following species removal,Pulse
91939744,https://sysrev.com/p/121752/article/91939744,Reinterpreting the relationship between number of species and number of links connects community structure and stability,NATURE ECOLOGY & EVOLUTION,"Carpentier, C; Barabas, G; Spaak, JW; De Laender, F","For 50 years, ecologists have examined how the number of interactions (links) scales with the number of species in ecological networks. Here, we show that the way the number of links varies when species are sequentially removed from a community is fully defined by a single parameter identifiable from empirical data. We mathematically demonstrate that this parameter is network-specific and connects local stability and robustness, establishing a formal connection between community structure and two prime stability concepts. Importantly, this connection highlights a local stability-robustness trade-off, which is stronger in mutualistic than in trophic networks. Analysis of 435 empirical networks confirmed these results. We finally show how our network-specific approach relates to the classical across-network approach found in literature. Taken together, our results elucidate one of the intricate relationships between network structure and stability in community networks.
This paper demonstrates that the scaling relationship between the number of species and the number of interactions (links) in a network can explain its local stability and robustness to secondary extinctions.",2021,,,,,,2,"Robustness to species loss and local stability. We computed the eigenvalues of W using the function linalg.eig from the
NumPy library in Python and used the real part of the highest of these eigenvalues
to infer matrix local stability",Resistance,Species and community,Temporal and spatial,SImulation,435,,Before after species removal,,"Here, we show that the way the number of links varies when species are sequentially removed from a community is fully defined by a single parameter identifiable from empirical data. We mathematically demonstrate that this parameter is network-specific and connects local stability and robustness, establishing a formal connection between community structure and two prime stability concepts. Importantly, this connection highlights a local stability–robustness trade-off, which is stronger in mutualistic than in trophic networks",Simulation,,,Mutualistic and trophic,Species removal,Secondary extinctions following species removal,Pulse
91939744,https://sysrev.com/p/121752/article/91939744,Reinterpreting the relationship between number of species and number of links connects community structure and stability,NATURE ECOLOGY & EVOLUTION,"Carpentier, C; Barabas, G; Spaak, JW; De Laender, F","For 50 years, ecologists have examined how the number of interactions (links) scales with the number of species in ecological networks. Here, we show that the way the number of links varies when species are sequentially removed from a community is fully defined by a single parameter identifiable from empirical data. We mathematically demonstrate that this parameter is network-specific and connects local stability and robustness, establishing a formal connection between community structure and two prime stability concepts. Importantly, this connection highlights a local stability-robustness trade-off, which is stronger in mutualistic than in trophic networks. Analysis of 435 empirical networks confirmed these results. We finally show how our network-specific approach relates to the classical across-network approach found in literature. Taken together, our results elucidate one of the intricate relationships between network structure and stability in community networks.
This paper demonstrates that the scaling relationship between the number of species and the number of interactions (links) in a network can explain its local stability and robustness to secondary extinctions.",2021,,,,,,,"Robustness to species loss and local stability. We computed the eigenvalues of W using the function linalg.eig from the
NumPy library in Python and used the real part of the highest of these eigenvalues
to infer matrix local stability",Resistance,Species and community,Temporal and spatial,,435,,Before after species removal,,"Here, we show that the way the number of links varies when species are sequentially removed from a community is fully defined by a single parameter identifiable from empirical data. We mathematically demonstrate that this parameter is network-specific and connects local stability and robustness, establishing a formal connection between community structure and two prime stability concepts. Importantly, this connection highlights a local stability–robustness trade-off, which is stronger in mutualistic than in trophic networks",Simulation,,,Mutualistic and trophic,,,
91939050,https://sysrev.com/p/121752/article/91939050,"Interaction frequency, network position, and the temporal persistence of interactions in a plant-pollinator network",ECOLOGY,"Chacoff, NP; Resasco, J; Vazquez, DP","Ecological interactions are highly dynamic in time and space. Previous studies of plant-animal mutualistic networks have shown that the occurrence of interactions varies substantially across years. We analyzed interannual variation of a quantitative mutualistic network, in which links are weighted by interaction frequency. The network was sampled over six consecutive years, representing one of the longest time series for a community-wide mutualistic network. We estimated the interannual similarity in interactions and assessed the determinants of their persistence. The occurrence of interactions varied greatly among years, with most interactions seen in only one year (64%) and few (20%) in more than two years. This variation was associated with the frequency and position of interactions relative to the network core, so that the network consisted of a persistent core of frequent interactions and many peripheral, infrequent interactions. Null model analyses suggest that species abundances play a substantial role in generating these patterns. Our study represents an important step in the study of ecological networks, furthering our mechanistic understanding of the ecological processes driving the temporal persistence of interactions.",2018,99,21-28,Argentina,,,2,We quantified interaction persistence in two ways: (1) as the number of years in which it was observed (range 1–6); and (2) as the inverse of the coefficient of variation of interaction frequency across years (1/CV = mean/standard deviation),Persistence,Interactions,,Site,4,1 ha,Inter-annual,"6 years, weekly visits","The occurrence of interactions varied greatly among years, with most interactions seen in only one year (64%) and few (20%) in more than two years. This variation was associated with the frequency and position of interactions relative to the network core, so that the network consisted of a persistent core of frequent interactions and many peripheral, infrequent interactions. Null model analyses suggest that species abundances play a substantial role in generating these patterns.",Empirical,,,,Underlying variation,Temporal variation in different ecosystem properties,
91939615,https://sysrev.com/p/121752/article/91939615,Between-year changes in community composition shape species' roles in an Arctic plant-pollinator network,OIKOS,"Cirtwill, AR; Roslin, T; Rasmussen, C; Olesen, JM; Stouffer, DB","Inter-annual turnover in community composition can affect the richness and functioning of ecological communities. If incoming and outgoing species do not interact with the same partners, ecological functions such as pollination may be disrupted. Here, we explore the extent to which turnover affects species' roles - as defined based on their participation in different motifs positions - in a series of temporally replicated plant-pollinator networks from high-Arctic Zackenberg, Greenland. We observed substantial turnover in the plant and pollinator assemblages, combined with significant variation in species' roles between networks. Variation in the roles of plants and pollinators tended to increase with the amount of community turnover, although a negative interaction between turnover in the plant and pollinator assemblages complicated this trend for the roles of pollinators. This suggests that increasing turnover in the future will result in changes to the roles of plants and likely those of pollinators. These changing roles may in turn affect the functioning or stability of this pollination network.",2018,127,1163-1176,Greenland,Arctic,heathland,1,Stability as consistency in species roles through time (dissimilarity),Persistence,Species roles,Temporal,Site,1,,Inter-annual,Two sampling periods 14 yearws apart,"We observed substantial turnover in the plant
and pollinator assemblages, combined with significant variation in species’ roles between
networks. Variation in the roles of plants and pollinators tended to increase with the
amount of community turnover, although a negative interaction between turnover in the
plant and pollinator assemblages complicated this trend for the roles of pollinators.",Empirical,,,,Underlying variation,Temporal variation in different ecosystem properties,
91939076,https://sysrev.com/p/121752/article/91939076,Optimizing yield and flower resources for pollinators in intensively managed multi-species grasslands,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,"Cong, WF; Dupont, YL; Soegaard, K; Eriksen, J","Intensively managed grasslands, typically containing a few high-yielding species, play a key role in providing biomass feedstock for animal feed and bioenergy production. However, these grasslands often contain few resources for flower-visiting insects, which provide pollination services for crops. In this study, we investigate if both high yield and floral resources for pollinators can be achieved in intensively managed grasslands by varying species diversity and composition, and cutting frequency. Four perennial grassland mixtures containing 3, 5, 11 and 13 species of grasses and/or forbs were established at three sites varying in surrounding landscape, and plots were managed with three cutting strategies (four cuts per year, two cuts per year and no cut). Biomass production was measured as annual herbage yield. Every 2-4 weeks throughout the flowering season, flower abundance, richness, temporal stability and flower-visiting insects were monitored. The 11- and 13-species mixtures, designed to enhance pollinators, produced similar or higher herbage yield than the 3-species mixture under a two-cut strategy or the 5-species mixture under a four-cut strategy. The 3- and 5- species mixtures had a high accumulated flower abundance due to excessive flowering of lucerne under the two-cut strategy and white clover under the four-cut strategy. Interestingly, flower abundance was not significantly reduced under the twocut strategy compared to no cut. As expected, the 11- and 13- species mixtures presented a higher diversity of flowers during the flowering season. Flower temporal stability was generally higher in 11- and 13-species mixtures under the two-cut strategy, while it was highest in the 5-species mixture under the four-cut strategy. Pollinator profiles (visits by different functional groups of insects) were plant-species specific, and varied very little among sites. Legume species mainly attracted large bees (honey bees and bumblebees), while the most abundant forbs attracted other insect groups, in particular syrphids and other flies. Our results suggest that multi-species grasslands can be designed to support a high diversity of pollinators without compromising herbage yield. In particular, adding forbs to the grass-legume seed mixtures and managing grasslands with a two-cut strategy may increase flower resources available for a larger range of wild pollinators.",2020,302,107062,Denmark,Temperate,Grassland,1,Temporal stability of flower per sub-plot was calculated as flower abundance (see above calculation) divided by its standard deviation.,Temporal invariability,Flowers,,Site,3,1.5 x 12m,Intra-annual,Every 2-4 weeks,"Our results showed that multi-species grassland mixtures can be designed to support a high diversity of pollinators without compromising herbage yield. In particular, adding forbs to the grass-legume mixtures and using a two-cut strategy rather than four cuts per year, may increase flower resources available for a wider range of wild pollinators. Combining different grassland mixtures and cutting strategies within an agricultural landscape can make an important contribution to increasing the multi-functionality of grasslands. Such land sharing approach are more likely to be adopted by farmers with both production goals and enhancing biodiversity goals. Yet such approach should be supported within agri-environment schemes to encourage farmers for adoption and to promote seed companies providing diverse seed mixtures to the market.",Experimental,Positive linear,,,Differing sps diversity,,
