Site_troph,System_var,Simp,synchrony_comm_site,mean_cv_species_site,cv_comm_site,Meta,Meta_troph,Site,S
Pinar Aznalcazar Pollinator visitation rate,Pollinator visitation rate,0.6227374907911009,0.981787137165623,1.3969592314794628,1.3208004304783914,Doñana,Doñana Pollinator visitation rate,Pinar Aznalcazar,20.5
Pinar Aznalcazar Pollinator interaction frequencies,Pollinator interaction frequencies,0.9325261854892364,0.8229166666666666,1.4109049076482918,1.1557538423531846,Doñana,Doñana Pollinator interaction frequencies,Pinar Aznalcazar,33
Pinar Aznalcazar Flower availability,Flower availability,0.47108556289453346,0.8926268751994892,1.3794015641814357,1.2073355053826844,Doñana,Doñana Flower availability,Pinar Aznalcazar,9.5
Pinar Aznalcazar Fruit set,Fruit set,0.6061684584559976,0.9519372241294752,1.2768041595042199,1.1223886566305754,Doñana,Doñana Fruit set,Pinar Aznalcazar,3
Pinar Hinojos Pollinator visitation rate,Pollinator visitation rate,0.7491884471103876,0.9239669421487604,1.3536044096999624,1.2730199377883415,Doñana,Doñana Pollinator visitation rate,Pinar Hinojos,11.5
Pinar Hinojos Pollinator interaction frequencies,Pollinator interaction frequencies,0.701906576321166,0.8864864864864864,1.4142135623730951,1.2536812120496625,Doñana,Doñana Pollinator interaction frequencies,Pinar Hinojos,15.5
Pinar Hinojos Flower availability,Flower availability,0.6369215045258052,0.8985313751668892,1.388940944728304,1.2606168575855536,Doñana,Doñana Flower availability,Pinar Hinojos,9
Pinar Hinojos Fruit set,Fruit set,0.2720368228752882,0.6293981356754136,1.1448395504925055,0.8162176304204815,Doñana,Doñana Fruit set,Pinar Hinojos,2
Pinar Puebla Pollinator visitation rate,Pollinator visitation rate,0.8049756822490182,0.9732292247629672,1.3311662442004575,1.2886697996559013,Doñana,Doñana Pollinator visitation rate,Pinar Puebla,19
Pinar Puebla Pollinator interaction frequencies,Pollinator interaction frequencies,0.9283029900104879,0.7344632768361582,1.3539580371486601,1.0046325852923625,Doñana,Doñana Pollinator interaction frequencies,Pinar Puebla,34
Pinar Puebla Flower availability,Flower availability,0.6435060963656822,0.7327728020471578,1.202487960398216,0.9084413029248097,Doñana,Doñana Flower availability,Pinar Puebla,13.5
Pinar Puebla Fruit set,Fruit set,0.30522500189815993,0.21592279855247284,0.9102316508192209,0.07729594737855998,Doñana,Doñana Fruit set,Pinar Puebla,2.5
Villamanrique Chaparral Pollinator visitation rate,Pollinator visitation rate,0.536902651545955,0.9555555555555556,1.3677768474450969,1.0435616458696941,Doñana,Doñana Pollinator visitation rate,Villamanrique Chaparral,24
Villamanrique Chaparral Pollinator interaction frequencies,Pollinator interaction frequencies,0.8869378405891283,0.8306878306878307,1.3152299835251606,0.9212926526662901,Doñana,Doñana Pollinator interaction frequencies,Villamanrique Chaparral,40
Villamanrique Chaparral Flower availability,Flower availability,0.5363193220534187,0.74061218049858,1.0205661931377674,0.40871311795218007,Doñana,Doñana Flower availability,Villamanrique Chaparral,6
Villamanrique Chaparral Fruit set,Fruit set,0.5670915085930086,1,0.7393395689329428,0.5403905482238656,Doñana,Doñana Fruit set,Villamanrique Chaparral,2.5
Villamanrique Sur Pollinator visitation rate,Pollinator visitation rate,0.8293781288241273,0.8072289156626506,1.4063703664668306,1.1303784193283897,Doñana,Doñana Pollinator visitation rate,Villamanrique Sur,26
Villamanrique Sur Pollinator interaction frequencies,Pollinator interaction frequencies,0.9417241426476675,0.735234215885947,1.3773768958937884,0.9687497078115508,Doñana,Doñana Pollinator interaction frequencies,Villamanrique Sur,39.5
Villamanrique Sur Flower availability,Flower availability,0.5029823850651733,0.6697790936005467,1.243991858138625,0.85703731443216,Doñana,Doñana Flower availability,Villamanrique Sur,11.5
Villamanrique sur Fruit set,Fruit set,0.48242917387543255,0.5476190476190476,1.0659554681209953,0.5706475777996699,Doñana,Doñana Fruit set,Villamanrique sur,3
